0	15015	EAGLE CROSSING PH I BLK 30 LT 6 G:0056	Residential Building App - BldgNew	None		WOODBUILT HOMES INC
1	16016	POWDER RIDGE PH 6 BLK 16 LT 51 G:0351	Residential Building App - BldgNew	None		WOODBUILT HOMES INC
2	19019	INDUSTRIAL PARK 6800 TR A-2 G:2028	Commercial Building App - BldgAlter	None		ROGER HICKEL CONTRACTING INC
3	20004	COLUMBIA PARK BLK 1 LT 39B G:1626	Residential Building App - Reroof	None		ROOF CARE LLC
4	23023	SKY RANCH ESTATES #1 BLK 5 LT 19 G:2737	Commercial Trade Application - Electrical	Alteration		ED'S ELECTRIC INC
5	48048	1 GAS PIPE				ATLAS PLUMBING LLC.
6	49049	1 BACKFLOW, 3 BATHROOM GROUPS, 1 DW, 1 FLOOR DRAIN, 2 HOSE BIB, 1 ICE MAKER, 2 LAVS, 1 SHOWER, 1 SINK, 1 WASHING MACHINE, 1 BUILDING SEWER, 1 WATER SERVICE, 4 WATER PIPES, 1 GAS KITCHEN APP, 2 GAS HEATING APPLIANCE, 1 GAS WATER PIPE, 1 GAS PIPE				ATLAS PLUMBING LLC.
7	53053	1 GAS PIPE; 1 EMERGENCY GENERATOR; 2 PSI GAS				R PLUMBER C/O RENE ANTONIO AGUIRRE
8	55055	REPLACE PART OF ROOF RAFTER ON CEILING -FIX CHIMNEY (BRICK) TOTAL 150 SF				BELL DESIGN BUILD INC.
9	57057	2 FIXTURES				KAPINOS JEREMY D KAPINOS DAVID P
10	69069	2 CIRCUITS, 15 FIX SWITCHES RECEPT=**FULL BATH TO BASEMENT. **				GRAHAM GROUP INC
11	71071	5 FIXTURES/SWITCHES/RECEPTACLES, 1 RANGE removing existing wall seperating closet and pantry to create one closet				VIVEK NARULA
12	79079	3 CIRCUITS, 16 FIX SWITCHES RECEPR, 1 RANGE				MORLEY JAMES V WILEY WILLIAM T
13	80000	1 GAS KITCHEN APPLIANCES				DOHERTY PLUMBING CO. INC.
