Roofing,Roofing,roof,reroofing,shingles,shingled,shingling,reroof,,,,,,,
Siding,Siding,wall,cladding,walls,,,,,,,,,,
Solar,Solar,renewable,panel,photovoltaic,,,,,,,,,,
Cabinetry,Cabinetry,cabinet,trim,millwork,finish,cabinets,,,,,,,,
Electrical,Electrical,electric,power,elect,lighting,outlet,meter,wiring,poles,circuits,elec,voltage,generator,wire
Plumbing,Plumbing,water,leak,backflow,plbg,sink,pump,pipe,tanks,drain,,,,
Hvac,hvac,heating,heater,cooler,cooling,mechanical,furnace,conditioning,cool,mech,boiler,fireplace,duct,cond
Carpentry,Carpentry,carpenter,wood,,,,,,,,,,,
Framing,Framing,frame,glass,,,,,,,,,,,
Insulation,Insulation,insulate,,,,,,,,,,,,
Windows_doors,Windows,Doors,Fixture,shutters,,,,,,,,,,
Masonry,Masonry,Concrete ,Block,Construct,,,,,,,,,,
Foundation_Concrete,Concrete,Foundation,,,,,,,,,,,,
Gas,Gas,Fitting,Piping,LPA,,,,,,,,,,
Elevators,Elevators,Elevator,,,,,,,,,,,,
Plan_updating,Plan_updating,Plan,Plans,update,planned,review,reviewed,revised,architect,files,,,,
New_construction,Construction,Erect,erecting,nsfr,constr,Bldgnew,,,,,,,,
Remodel_Addition,Remodel,Alteration,remodeling,interior,design,bldgalter,,,,,,,,
Conversion,Conversion,Conv,convert,,,,,,,,,,,
Restoration,Restoration,Historic,Historical,renovate,dated,,,,,,,,,
Excavation_site_work,Excavation,Site,ground,excavating,,,,,,,,,,
Demolition,Demolition,destroy,waste,demo,,,,,,,,,,
Install,Installation,,,,,,,,,,,,,
Replacement,Replacement,replace,upgrade,,,,,,,,,,,
Repair,Repair,damage,,,,,,,,,,,,
Building,Bldg,Bldgnew,,,,,,,,,,,,
Commercial,Office,commercial,retail,company,industriy,enterprise,suite,business,restaurant,store,corporation,enterprises,industries,shopping
Residential_Home,Occupancy,Dwelling,Family,residential,single,home,homes,nsfr,townhouse,duplex,apartment,condo,,
Bathroom,Bathroom,bath,toilet,shower,restroom,,,,,,,,,
Kitchen,Kitchen,stove,,,,,,,,,,,,
Additions,Additions,addition,adding,,,,,,,,,,,
Communication,Communications ,,,,,,,,,,,,,
Paving,Paving,sidewalk,driveway,,,,,,,,,,,
Grading,Grading,grade,,,,,,,,,,,,
Garages,Garages,garage,storage,shed,carport,,,,,,,,,
Landscaping,Landscaping,landscape,garden,patio,tree,yard,,,,,,,,
Irrigation,Irrigation,irrigate,sprinkler,backflow,fire,,,,,,,,,
Pools,Pools,pool,swimming,,,,,,,,,,,
Retaining_wall,Retaining,Wall,,,,,,,,,,,,
Roads_driveways,Roads,Road,Driveway,sidewalk,,,,,,,,,,
Security,Security,alarm,system,burglar,protection,fire,,,,,,,,
Utilities,Utilities,utility,,,,,,,,,,,,
Sewer_septic,Sewer,Trenching,Trench,Septic,storm,,,,,,,,,
Sidewalls,Sidewalls,Sidewall,,,,,,,,,,,,
Fencing,Fencing,Fence,,,,,,,,,,,,
Flooring,Flooring,Floor,Tile,,,,,,,,,,,
House_moving,House-moving,Move,Moving,relocation,,,,,,,,,,
Sheetrock_drywall,Sheetrock,Drywall,Plaster,,,,,,,,,,,
Paint,Paint,Painting,,,,,,,,,,,,
Porch_Decks,Porches,Porch,Deck,covered,,,,,,,,,,
Audio_Visual,Audio,Visual,Low-voltage,,,,,,,,,,,
Modular,Modular,mh,mobile,,,,,,,,,,,
Basement,Basement,,,,,,,,,,,,,
Bedroom,Bedroom,Bed,,,,,,,,,,,,
Deck,Deck,,,,,,,,,,,,,
Tenant_improvement,Tenant,Improvement,,,,,,,,,,,,
Energy_efficiency,Energy,Efficiency,,,,,,,,,,,,
Signs,Signs,sign,,,,,,,,,,,,
Zoning,Zoning,zone,,,,,,,,,,,,
Inspection,Inspection,Inspections,certificate,,,,,,,,,,,
